Date,Year,Month,Day,Quarter,Date Key,Day of Week
2014-11-05 00:00:00.000,2014,11,5,4,20141105,3
2014-12-13 00:00:00.000,2014,12,13,4,20141213,6
2014-12-30 00:00:00.000,2014,12,30,4,20141230,2
2014-10-27 00:00:00.000,2014,10,27,4,20141027,1
2014-12-25 00:00:00.000,2014,12,25,4,20141225,4
2014-11-18 00:00:00.000,2014,11,18,4,20141118,2
2014-11-01 00:00:00.000,2014,11,1,4,20141101,6
2014-11-06 00:00:00.000,2014,11,6,4,20141106,4
2014-12-04 00:00:00.000,2014,12,4,4,20141204,4
2014-12-27 00:00:00.000,2014,12,27,4,20141227,6
2014-11-07 00:00:00.000,2014,11,7,4,20141107,5
2014-10-23 00:00:00.000,2014,10,23,4,20141023,4
2014-12-05 00:00:00.000,2014,12,5,4,20141205,5
2014-10-17 00:00:00.000,2014,10,17,4,20141017,5
2014-11-22 00:00:00.000,2014,11,22,4,20141122,6
2014-12-10 00:00:00.000,2014,12,10,4,20141210,3
2014-12-31 00:00:00.000,2014,12,31,4,20141231,3
2014-11-04 00:00:00.000,2014,11,4,4,20141104,2
2014-12-17 00:00:00.000,2014,12,17,4,20141217,3
2014-11-26 00:00:00.000,2014,11,26,4,20141126,3
2014-11-27 00:00:00.000,2014,11,27,4,20141127,4
2014-12-11 00:00:00.000,2014,12,11,4,20141211,4
2014-12-12 00:00:00.000,2014,12,12,4,20141212,5
2014-10-16 00:00:00.000,2014,10,16,4,20141016,4
2014-10-22 00:00:00.000,2014,10,22,4,20141022,3
2014-12-23 00:00:00.000,2014,12,23,4,20141223,2
2014-11-17 00:00:00.000,2014,11,17,4,20141117,1
2014-11-20 00:00:00.000,2014,11,20,4,20141120,4
2014-11-28 00:00:00.000,2014,11,28,4,20141128,5
2014-10-03 00:00:00.000,2014,10,3,4,20141003,5
2014-12-29 00:00:00.000,2014,12,29,4,20141229,1
2014-10-04 00:00:00.000,2014,10,4,4,20141004,6
2014-12-02 00:00:00.000,2014,12,2,4,20141202,2
2014-11-25 00:00:00.000,2014,11,25,4,20141125,2
2014-12-19 00:00:00.000,2014,12,19,4,20141219,5
2014-12-21 00:00:00.000,2014,12,21,4,20141221,0
2014-12-01 00:00:00.000,2014,12,1,4,20141201,1
